iter	RMSE
0	11773.94719
1	11644.07912
2	11479.24183
3	11307.20989
4	11130.06103
5	10981.00869
6	10844.16566
7	10700.92485
8	10569.77489
9	10440.27661
10	10332.46604
11	10225.73595
12	10102.25384
13	9997.221166
14	9889.949687
15	9807.364569
16	9734.697831
17	9638.229949
18	9565.200423
19	9495.226754
20	9432.795753
21	9348.313331
22	9274.298882
23	9201.53816
24	9154.237495
25	9091.554738
26	9032.592337
27	8980.645865
28	8910.630749
29	8872.450027
30	8820.538404
31	8776.61339
32	8728.958755
33	8684.170733
34	8632.629006
35	8585.11671
36	8541.341724
37	8507.299547
38	8474.989108
39	8429.767675
40	8392.912785
41	8357.548317
42	8326.34159
43	8295.735699
44	8262.577246
45	8232.460666
46	8195.325402
47	8170.722404
48	8140.678871
49	8110.437395
50	8087.966355
51	8055.720242
52	8026.760806
53	8005.040889
54	7980.450157
55	7950.94027
56	7929.545135
57	7906.599594
58	7890.220468
59	7872.595726
60	7854.20323
61	7836.111684
62	7823.577456
63	7798.395571
64	7779.271115
65	7760.250774
66	7738.5951
67	7712.569645
68	7694.380661
69	7674.262597
70	7659.770206
71	7639.679297
72	7621.843822
73	7604.72683
74	7589.594011
75	7577.990126
76	7563.619854
77	7545.815369
78	7535.483533
79	7524.24893
80	7509.098794
81	7490.797145
82	7475.482295
83	7464.374304
84	7452.606283
85	7436.161119
86	7421.81184
87	7405.377542
88	7392.809866
89	7378.640522
90	7363.538171
91	7351.097279
92	7339.246409
93	7324.381684
94	7318.437871
95	7303.301094
96	7294.322999
97	7279.341123
98	7266.308709
99	7255.252051
100	7242.26371
101	7231.076086
102	7226.682152
103	7217.808697
104	7209.030982
105	7197.330112
106	7184.9423
107	7174.304086
108	7164.65378
109	7151.088159
110	7148.421975
111	7139.45793
112	7132.437487
113	7122.127829
114	7112.647331
115	7110.544575
116	7101.111682
117	7090.258119
118	7083.735453
119	7071.382273
120	7063.789368
121	7056.072993
122	7048.346091
123	7037.808106
124	7024.661784
125	7016.026887
126	7006.039695
127	6997.099861
128	6985.892259
129	6975.111478
130	6956.657819
131	6948.045851
132	6939.825081
133	6936.031296
134	6927.294918
135	6919.732206
