iter	Passed	Remaining
0	22	22896
1	37	18941
2	45	15122
3	55	13767
4	67	13340
5	83	13791
6	99	14051
7	117	14539
8	125	13832
9	135	13408
10	148	13307
11	163	13498
12	176	13372
13	187	13185
14	198	13027
15	209	12911
16	237	13705
17	277	15134
18	299	15450
19	319	15634
20	339	15814
21	426	18968
22	473	20129
23	491	19974
24	530	20683
25	574	21528
26	592	21356
27	605	21013
28	627	21012
29	641	20740
30	662	20703
31	678	20533
32	704	20640
33	721	20496
34	731	20159
35	741	19849
36	762	19843
37	787	19938
38	810	19982
39	827	19871
40	837	19594
41	858	19579
42	892	19874
43	909	19770
44	921	19552
45	929	19278
46	942	19120
47	962	19081
48	977	18967
49	996	18932
50	1016	18906
51	1032	18819
52	1043	18648
53	1062	18620
54	1112	19112
55	1149	19378
56	1183	19585
57	1203	19551
58	1216	19396
59	1234	19340
60	1251	19270
61	1284	19426
62	1299	19322
63	1332	19490
64	1347	19381
65	1365	19322
66	1378	19200
67	1399	19180
68	1415	19093
69	1428	18978
70	1439	18828
71	1447	18657
72	1458	18520
73	1466	18345
74	1475	18201
75	1493	18151
76	1509	18099
77	1536	18158
78	1558	18170
79	1591	18307
80	1621	18399
81	1650	18482
82	1673	18489
83	1707	18621
84	1732	18649
85	1753	18635
86	1772	18596
87	1787	18528
88	1802	18453
89	1818	18390
90	1829	18274
91	1840	18169
92	1852	18066
93	1869	18023
94	1883	17939
95	1904	17930
96	1933	18000
97	1947	17923
98	1958	17824
99	1965	17688
100	1976	17591
101	1990	17523
102	1999	17413
103	2013	17346
104	2027	17280
105	2045	17254
106	2055	17155
107	2068	17084
108	2078	16987
109	2088	16894
110	2102	16838
111	2113	16754
112	2121	16651
113	2131	16568
114	2155	16587
115	2166	16509
116	2178	16441
117	2189	16364
118	2197	16270
119	2206	16183
120	2213	16080
121	2225	16017
122	2237	15952
123	2245	15862
124	2255	15791
125	2264	15709
126	2279	15672
127	2293	15621
128	2307	15583
129	2323	15546
130	2333	15477
131	2345	15423
132	2362	15397
133	2394	15472
134	2434	15595
135	2459	15622
136	2473	15581
137	2487	15537
138	2502	15501
139	2518	15472
140	2534	15442
141	2554	15436
142	2597	15564
143	2613	15533
144	2633	15527
145	2655	15533
146	2667	15480
147	2683	15450
148	2721	15541
149	2736	15504
150	2743	15426
151	2755	15371
152	2767	15321
153	2784	15297
154	2814	15344
155	2829	15308
156	2839	15247
157	2851	15197
158	2862	15138
159	2871	15074
160	2882	15022
161	2892	14964
162	2901	14898
163	2912	14847
164	2922	14789
165	2934	14742
166	2959	14760
167	2973	14723
168	2984	14674
169	2993	14617
170	3001	14553
171	3012	14502
172	3023	14451
173	3029	14383
174	3041	14340
175	3051	14284
176	3061	14236
177	3070	14180
178	3079	14123
179	3086	14062
180	3093	13996
181	3099	13932
182	3108	13877
183	3114	13812
184	3122	13757
185	3130	13701
186	3139	13651
187	3146	13590
188	3154	13536
189	3162	13480
190	3172	13435
191	3180	13383
192	3188	13330
193	3195	13275
194	3204	13228
195	3210	13171
196	3219	13122
197	3225	13066
198	3234	13017
199	3243	12975
200	3253	12933
201	3263	12893
202	3272	12846
203	3281	12803
204	3288	12753
205	3309	12756
206	3318	12713
207	3327	12668
208	3335	12622
209	3342	12575
210	3350	12529
211	3360	12490
212	3370	12452
213	3386	12437
214	3398	12409
215	3405	12360
216	3421	12346
217	3454	12390
218	3466	12361
219	3480	12341
220	3499	12336
221	3517	12326
222	3530	12300
223	3548	12293
224	3574	12310
225	3597	12322
226	3667	12487
227	3692	12501
228	3713	12501
229	3731	12493
230	3744	12466
231	3755	12433
232	3767	12402
233	3778	12368
234	3795	12354
235	3814	12347
236	3823	12309
237	3836	12281
238	3845	12244
239	3853	12203
240	3873	12199
241	3884	12167
242	3891	12121
243	3900	12086
244	3907	12042
245	3915	12001
246	3923	11961
247	3937	11938
248	3950	11913
249	3966	11898
250	3972	11855
251	3981	11816
252	3987	11773
253	4011	11781
254	4018	11740
255	4028	11707
256	4036	11669
257	4044	11631
258	4053	11598
259	4063	11566
260	4085	11567
261	4096	11538
262	4103	11498
263	4112	11464
264	4119	11425
265	4129	11394
266	4140	11366
267	4148	11330
268	4160	11307
269	4169	11273
270	4177	11238
271	4188	11211
272	4196	11176
273	4221	11185
274	4234	11163
275	4256	11166
276	4286	11187
277	4301	11171
278	4319	11161
279	4351	11190
280	4386	11224
281	4403	11210
282	4431	11226
283	4444	11204
284	4452	11170
285	4462	11141
286	4471	11109
287	4495	11114
288	4504	11082
289	4519	11065
290	4534	11047
291	4545	11021
292	4554	10990
293	4563	10959
294	4577	10940
295	4588	10912
296	4600	10888
297	4621	10886
298	4630	10855
299	4640	10827
300	4651	10802
301	4672	10798
302	4687	10783
303	4696	10752
304	4706	10725
305	4717	10698
306	4729	10675
307	4743	10657
308	4762	10649
309	4771	10620
310	4780	10590
311	4787	10556
312	4796	10527
313	4805	10498
314	4819	10481
315	4844	10485
316	4853	10457
317	4865	10435
318	4879	10417
319	4894	10400
320	4902	10371
321	4912	10342
322	4918	10309
323	4931	10289
324	4950	10280
325	4974	10284
326	4992	10274
327	5024	10293
328	5044	10288
329	5062	10277
330	5072	10252
331	5083	10227
332	5094	10204
333	5107	10184
334	5124	10171
335	5139	10156
336	5150	10133
337	5159	10105
338	5174	10088
339	5190	10076
340	5219	10086
341	5242	10085
342	5270	10094
343	5282	10073
344	5291	10046
345	5306	10030
346	5337	10044
347	5369	10060
348	5396	10066
349	5405	10039
350	5417	10016
351	5430	9997
352	5439	9969
353	5454	9952
354	5467	9933
355	5483	9920
356	5504	9913
357	5523	9905
358	5532	9878
359	5543	9855
360	5550	9825
361	5562	9802
362	5571	9776
363	5581	9752
364	5592	9730
365	5600	9701
366	5610	9676
367	5624	9659
368	5632	9631
369	5644	9610
370	5654	9586
371	5661	9557
372	5669	9530
373	5677	9503
374	5686	9477
375	5693	9448
376	5704	9426
377	5712	9399
378	5723	9377
379	5733	9354
380	5741	9327
381	5748	9300
382	5757	9275
383	5768	9253
384	5777	9228
385	5786	9205
386	5795	9179
387	5804	9155
388	5813	9131
389	5820	9103
390	5832	9083
391	5839	9057
392	5850	9035
393	5862	9017
394	5869	8990
395	5881	8970
396	5895	8954
397	5902	8927
398	5911	8904
399	5921	8881
400	5934	8865
401	5948	8849
402	5965	8837
403	5980	8822
404	5996	8809
405	6023	8813
406	6031	8788
407	6042	8768
408	6050	8742
409	6061	8722
410	6074	8705
411	6084	8683
412	6096	8665
413	6110	8649
414	6122	8631
415	6140	8619
416	6153	8603
417	6168	8588
418	6183	8573
419	6201	8564
420	6220	8554
421	6231	8535
422	6240	8513
423	6251	8492
424	6259	8468
425	6273	8452
426	6306	8462
427	6320	8446
428	6333	8430
429	6357	8427
430	6375	8416
431	6394	8407
432	6408	8392
433	6431	8388
434	6459	8389
435	6479	8382
436	6499	8372
437	6517	8363
438	6530	8345
439	6546	8332
440	6572	8330
441	6582	8310
442	6591	8287
443	6599	8264
444	6608	8242
445	6621	8225
446	6643	8218
447	6669	8217
448	6681	8199
449	6691	8178
450	6702	8158
451	6712	8137
452	6721	8116
453	6735	8100
454	6744	8078
455	6752	8055
456	6760	8032
457	6769	8011
458	6785	7997
459	6796	7978
460	6804	7956
461	6818	7940
462	6831	7923
463	6841	7903
464	6849	7880
465	6857	7858
466	6864	7834
467	6873	7813
468	6881	7791
469	6891	7771
470	6899	7749
471	6914	7734
472	6924	7715
473	6931	7691
474	6939	7669
475	6945	7646
476	6958	7629
477	6967	7608
478	6976	7588
479	6985	7567
480	6992	7544
481	7001	7524
482	7019	7514
483	7028	7493
484	7044	7479
485	7057	7464
486	7068	7445
487	7075	7423
488	7084	7403
489	7091	7381
490	7105	7365
491	7115	7346
492	7133	7336
493	7145	7319
494	7153	7298
495	7169	7285
496	7182	7268
497	7191	7249
498	7203	7232
499	7216	7216
500	7230	7201
501	7250	7192
502	7267	7180
503	7280	7164
504	7301	7156
505	7332	7158
506	7344	7141
507	7356	7124
508	7371	7111
509	7382	7093
510	7395	7077
511	7408	7060
512	7424	7048
513	7443	7037
514	7468	7033
515	7494	7029
516	7507	7013
517	7521	6998
518	7530	6978
519	7539	6959
520	7549	6940
521	7560	6923
522	7583	6916
523	7595	6899
524	7608	6884
525	7629	6875
526	7645	6862
527	7672	6858
528	7685	6842
529	7695	6824
530	7702	6803
531	7714	6786
532	7727	6770
533	7736	6751
534	7748	6734
535	7754	6713
536	7763	6694
537	7771	6673
538	7780	6654
539	7792	6638
540	7799	6617
541	7811	6600
542	7823	6584
543	7830	6564
544	7842	6547
545	7850	6527
546	7861	6510
547	7870	6491
548	7877	6471
549	7887	6453
550	7894	6432
551	7904	6415
552	7912	6396
553	7923	6379
554	7940	6366
555	7950	6348
556	7958	6329
557	7966	6310
558	7973	6290
559	7980	6270
560	7989	6251
561	7996	6231
562	8003	6212
563	8010	6192
564	8020	6174
565	8026	6154
566	8037	6137
567	8043	6117
568	8053	6100
569	8062	6082
570	8072	6065
571	8085	6049
572	8096	6033
573	8105	6015
574	8119	6001
575	8130	5985
576	8144	5970
577	8157	5955
578	8169	5939
579	8183	5926
580	8197	5911
581	8218	5902
582	8257	5906
583	8267	5889
584	8281	5874
585	8293	5859
586	8307	5844
587	8328	5835
588	8350	5826
589	8363	5812
590	8384	5802
591	8394	5785
592	8411	5772
593	8426	5759
594	8438	5743
595	8446	5725
596	8457	5709
597	8487	5705
598	8499	5690
599	8508	5672
600	8519	5655
601	8527	5637
602	8541	5623
603	8552	5607
604	8562	5590
605	8570	5572
606	8579	5554
607	8588	5537
608	8602	5522
609	8610	5505
610	8617	5486
611	8624	5467
612	8632	5449
613	8639	5431
614	8654	5417
615	8664	5400
616	8670	5382
617	8680	5365
618	8688	5347
619	8700	5332
620	8717	5320
621	8734	5308
622	8747	5293
623	8759	5277
624	8766	5259
625	8774	5242
626	8781	5224
